issue_id,ml_label,device_type,condition_signature,issue_title,problem_summary,cause_analysis,risk_impact,severity,recommended_action,reassurance,user_message
62,Warning,Heater,"ΔI:(1.05, 1.15), spikes:(6, 15), temp:(45, 60)",WARNING Electrical Issue Detected,"Severe electrical spikes, Rising temperature",Possible loose wiring or sparking; Continuous electrical load,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Heater

Problems detected:
• Severe electrical spikes, Rising temperature

Why this happened:
• Possible loose wiring or sparking; Continuous electrical load

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
63,Warning,Heater,"ΔI:(1.05, 1.15), spikes:(6, 15), temp:(60, 95)",WARNING Electrical Issue Detected,"Severe electrical spikes, Overheating",Possible loose wiring or sparking; Electrical stress causing temperature rise,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Heater

Problems detected:
• Severe electrical spikes, Overheating

Why this happened:
• Possible loose wiring or sparking; Electrical stress causing temperature rise

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
64,Warning,Heater,"ΔI:(1.15, 1.35), spikes:(0, 1), temp:(25, 45)",WARNING Electrical Issue Detected,Electrical overload,Device is drawing more current than expected,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Heater

Problems detected:
• Electrical overload

Why this happened:
• Device is drawing more current than expected

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
65,Warning,Heater,"ΔI:(1.15, 1.35), spikes:(0, 1), temp:(45, 60)",WARNING Electrical Issue Detected,"Electrical overload, Rising temperature",Device is drawing more current than expected; Continuous electrical load,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Heater

Problems detected:
• Electrical overload, Rising temperature

Why this happened:
• Device is drawing more current than expected; Continuous electrical load

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
66,Warning,Heater,"ΔI:(1.15, 1.35), spikes:(0, 1), temp:(60, 95)",WARNING Electrical Issue Detected,"Electrical overload, Overheating",Device is drawing more current than expected; Electrical stress causing temperature rise,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Heater

Problems detected:
• Electrical overload, Overheating

Why this happened:
• Device is drawing more current than expected; Electrical stress causing temperature rise

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
67,Warning,Heater,"ΔI:(1.15, 1.35), spikes:(2, 5), temp:(25, 45)",WARNING Electrical Issue Detected,"Electrical overload, Intermittent electrical instability",Device is drawing more current than expected; Minor wiring or contact issues,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Heater

Problems detected:
• Electrical overload, Intermittent electrical instability

Why this happened:
• Device is drawing more current than expected; Minor wiring or contact issues

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
68,Warning,Heater,"ΔI:(1.15, 1.35), spikes:(2, 5), temp:(45, 60)",WARNING Electrical Issue Detected,"Electrical overload, Intermittent electrical instability, Rising temperature",Device is drawing more current than expected; Minor wiring or contact issues; Continuous electrical load,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Heater

Problems detected:
• Electrical overload, Intermittent electrical instability, Rising temperature

Why this happened:
• Device is drawing more current than expected; Minor wiring or contact issues; Continuous electrical load

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
69,Warning,Heater,"ΔI:(1.15, 1.35), spikes:(2, 5), temp:(60, 95)",WARNING Electrical Issue Detected,"Electrical overload, Intermittent electrical instability, Overheating",Device is drawing more current than expected; Minor wiring or contact issues; Electrical stress causing temperature rise,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Heater

Problems detected:
• Electrical overload, Intermittent electrical instability, Overheating

Why this happened:
• Device is drawing more current than expected; Minor wiring or contact issues; Electrical stress causing temperature rise

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
70,Warning,Heater,"ΔI:(1.15, 1.35), spikes:(6, 15), temp:(25, 45)",WARNING Electrical Issue Detected,"Electrical overload, Severe electrical spikes",Device is drawing more current than expected; Possible loose wiring or sparking,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Heater

Problems detected:
• Electrical overload, Severe electrical spikes

Why this happened:
• Device is drawing more current than expected; Possible loose wiring or sparking

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
71,Warning,Heater,"ΔI:(1.15, 1.35), spikes:(6, 15), temp:(45, 60)",WARNING Electrical Issue Detected,"Electrical overload, Severe electrical spikes, Rising temperature",Device is drawing more current than expected; Possible loose wiring or sparking; Continuous electrical load,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Heater

Problems detected:
• Electrical overload, Severe electrical spikes, Rising temperature

Why this happened:
• Device is drawing more current than expected; Possible loose wiring or sparking; Continuous electrical load

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
72,Warning,Heater,"ΔI:(1.15, 1.35), spikes:(6, 15), temp:(60, 95)",WARNING Electrical Issue Detected,"Electrical overload, Severe electrical spikes, Overheating",Device is drawing more current than expected; Possible loose wiring or sparking; Electrical stress causing temperature rise,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Heater

Problems detected:
• Electrical overload, Severe electrical spikes, Overheating

Why this happened:
• Device is drawing more current than expected; Possible loose wiring or sparking; Electrical stress causing temperature rise

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
73,Warning,Heater,"ΔI:(1.35, 2.2), spikes:(0, 1), temp:(25, 45)",WARNING Electrical Issue Detected,Excessive current draw,Current is flowing far above the normal baseline,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Heater

Problems detected:
• Excessive current draw

Why this happened:
• Current is flowing far above the normal baseline

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
74,Warning,Heater,"ΔI:(1.35, 2.2), spikes:(0, 1), temp:(45, 60)",WARNING Electrical Issue Detected,"Excessive current draw, Rising temperature",Current is flowing far above the normal baseline; Continuous electrical load,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Heater

Problems detected:
• Excessive current draw, Rising temperature

Why this happened:
• Current is flowing far above the normal baseline; Continuous electrical load

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
75,Warning,Heater,"ΔI:(1.35, 2.2), spikes:(0, 1), temp:(60, 95)",WARNING Electrical Issue Detected,"Excessive current draw, Overheating",Current is flowing far above the normal baseline; Electrical stress causing temperature rise,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Heater

Problems detected:
• Excessive current draw, Overheating

Why this happened:
• Current is flowing far above the normal baseline; Electrical stress causing temperature rise

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
76,Warning,Heater,"ΔI:(1.35, 2.2), spikes:(2, 5), temp:(25, 45)",WARNING Electrical Issue Detected,"Excessive current draw, Intermittent electrical instability",Current is flowing far above the normal baseline; Minor wiring or contact issues,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Heater

Problems detected:
• Excessive current draw, Intermittent electrical instability

Why this happened:
• Current is flowing far above the normal baseline; Minor wiring or contact issues

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
77,Warning,Heater,"ΔI:(1.35, 2.2), spikes:(2, 5), temp:(45, 60)",WARNING Electrical Issue Detected,"Excessive current draw, Intermittent electrical instability, Rising temperature",Current is flowing far above the normal baseline; Minor wiring or contact issues; Continuous electrical load,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Heater

Problems detected:
• Excessive current draw, Intermittent electrical instability, Rising temperature

Why this happened:
• Current is flowing far above the normal baseline; Minor wiring or contact issues; Continuous electrical load

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
78,Warning,Heater,"ΔI:(1.35, 2.2), spikes:(2, 5), temp:(60, 95)",WARNING Electrical Issue Detected,"Excessive current draw, Intermittent electrical instability, Overheating",Current is flowing far above the normal baseline; Minor wiring or contact issues; Electrical stress causing temperature rise,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Heater

Problems detected:
• Excessive current draw, Intermittent electrical instability, Overheating

Why this happened:
• Current is flowing far above the normal baseline; Minor wiring or contact issues; Electrical stress causing temperature rise

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
79,Warning,Heater,"ΔI:(1.35, 2.2), spikes:(6, 15), temp:(25, 45)",WARNING Electrical Issue Detected,"Excessive current draw, Severe electrical spikes",Current is flowing far above the normal baseline; Possible loose wiring or sparking,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Heater

Problems detected:
• Excessive current draw, Severe electrical spikes

Why this happened:
• Current is flowing far above the normal baseline; Possible loose wiring or sparking

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
80,Warning,Heater,"ΔI:(1.35, 2.2), spikes:(6, 15), temp:(45, 60)",WARNING Electrical Issue Detected,"Excessive current draw, Severe electrical spikes, Rising temperature",Current is flowing far above the normal baseline; Possible loose wiring or sparking; Continuous electrical load,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Heater

Problems detected:
• Excessive current draw, Severe electrical spikes, Rising temperature

Why this happened:
• Current is flowing far above the normal baseline; Possible loose wiring or sparking; Continuous electrical load

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
81,Warning,Heater,"ΔI:(1.35, 2.2), spikes:(6, 15), temp:(60, 95)",WARNING Electrical Issue Detected,"Excessive current draw, Severe electrical spikes, Overheating",Current is flowing far above the normal baseline; Possible loose wiring or sparking; Electrical stress causing temperature rise,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Heater

Problems detected:
• Excessive current draw, Severe electrical spikes, Overheating

Why this happened:
• Current is flowing far above the normal baseline; Possible loose wiring or sparking; Electrical stress causing temperature rise

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
82,Warning,AC,"ΔI:(1.05, 1.15), spikes:(0, 1), temp:(25, 45)",WARNING Electrical Issue Detected,Minor electrical anomaly,Slight deviation from normal behavior,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – AC

Problems detected:
• Minor electrical anomaly

Why this happened:
• Slight deviation from normal behavior

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
83,Warning,AC,"ΔI:(1.05, 1.15), spikes:(0, 1), temp:(45, 60)",WARNING Electrical Issue Detected,Rising temperature,Continuous electrical load,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – AC

Problems detected:
• Rising temperature

Why this happened:
• Continuous electrical load

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
84,Warning,AC,"ΔI:(1.05, 1.15), spikes:(0, 1), temp:(60, 95)",WARNING Electrical Issue Detected,Overheating,Electrical stress causing temperature rise,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – AC

Problems detected:
• Overheating

Why this happened:
• Electrical stress causing temperature rise

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
85,Warning,AC,"ΔI:(1.05, 1.15), spikes:(2, 5), temp:(25, 45)",WARNING Electrical Issue Detected,Intermittent electrical instability,Minor wiring or contact issues,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – AC

Problems detected:
• Intermittent electrical instability

Why this happened:
• Minor wiring or contact issues

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
86,Warning,AC,"ΔI:(1.05, 1.15), spikes:(2, 5), temp:(45, 60)",WARNING Electrical Issue Detected,"Intermittent electrical instability, Rising temperature",Minor wiring or contact issues; Continuous electrical load,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – AC

Problems detected:
• Intermittent electrical instability, Rising temperature

Why this happened:
• Minor wiring or contact issues; Continuous electrical load

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
87,Warning,AC,"ΔI:(1.05, 1.15), spikes:(2, 5), temp:(60, 95)",WARNING Electrical Issue Detected,"Intermittent electrical instability, Overheating",Minor wiring or contact issues; Electrical stress causing temperature rise,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – AC

Problems detected:
• Intermittent electrical instability, Overheating

Why this happened:
• Minor wiring or contact issues; Electrical stress causing temperature rise

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
88,Warning,AC,"ΔI:(1.05, 1.15), spikes:(6, 15), temp:(25, 45)",WARNING Electrical Issue Detected,Severe electrical spikes,Possible loose wiring or sparking,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – AC

Problems detected:
• Severe electrical spikes

Why this happened:
• Possible loose wiring or sparking

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
89,Warning,AC,"ΔI:(1.05, 1.15), spikes:(6, 15), temp:(45, 60)",WARNING Electrical Issue Detected,"Severe electrical spikes, Rising temperature",Possible loose wiring or sparking; Continuous electrical load,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – AC

Problems detected:
• Severe electrical spikes, Rising temperature

Why this happened:
• Possible loose wiring or sparking; Continuous electrical load

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
90,Warning,AC,"ΔI:(1.05, 1.15), spikes:(6, 15), temp:(60, 95)",WARNING Electrical Issue Detected,"Severe electrical spikes, Overheating",Possible loose wiring or sparking; Electrical stress causing temperature rise,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – AC

Problems detected:
• Severe electrical spikes, Overheating

Why this happened:
• Possible loose wiring or sparking; Electrical stress causing temperature rise

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
91,Warning,AC,"ΔI:(1.15, 1.35), spikes:(0, 1), temp:(25, 45)",WARNING Electrical Issue Detected,Electrical overload,Device is drawing more current than expected,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – AC

Problems detected:
• Electrical overload

Why this happened:
• Device is drawing more current than expected

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
92,Warning,AC,"ΔI:(1.15, 1.35), spikes:(0, 1), temp:(45, 60)",WARNING Electrical Issue Detected,"Electrical overload, Rising temperature",Device is drawing more current than expected; Continuous electrical load,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – AC

Problems detected:
• Electrical overload, Rising temperature

Why this happened:
• Device is drawing more current than expected; Continuous electrical load

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
93,Warning,AC,"ΔI:(1.15, 1.35), spikes:(0, 1), temp:(60, 95)",WARNING Electrical Issue Detected,"Electrical overload, Overheating",Device is drawing more current than expected; Electrical stress causing temperature rise,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – AC

Problems detected:
• Electrical overload, Overheating

Why this happened:
• Device is drawing more current than expected; Electrical stress causing temperature rise

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
94,Warning,AC,"ΔI:(1.15, 1.35), spikes:(2, 5), temp:(25, 45)",WARNING Electrical Issue Detected,"Electrical overload, Intermittent electrical instability",Device is drawing more current than expected; Minor wiring or contact issues,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – AC

Problems detected:
• Electrical overload, Intermittent electrical instability

Why this happened:
• Device is drawing more current than expected; Minor wiring or contact issues

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
95,Warning,AC,"ΔI:(1.15, 1.35), spikes:(2, 5), temp:(45, 60)",WARNING Electrical Issue Detected,"Electrical overload, Intermittent electrical instability, Rising temperature",Device is drawing more current than expected; Minor wiring or contact issues; Continuous electrical load,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – AC

Problems detected:
• Electrical overload, Intermittent electrical instability, Rising temperature

Why this happened:
• Device is drawing more current than expected; Minor wiring or contact issues; Continuous electrical load

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
96,Warning,AC,"ΔI:(1.15, 1.35), spikes:(2, 5), temp:(60, 95)",WARNING Electrical Issue Detected,"Electrical overload, Intermittent electrical instability, Overheating",Device is drawing more current than expected; Minor wiring or contact issues; Electrical stress causing temperature rise,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – AC

Problems detected:
• Electrical overload, Intermittent electrical instability, Overheating

Why this happened:
• Device is drawing more current than expected; Minor wiring or contact issues; Electrical stress causing temperature rise

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
97,Warning,AC,"ΔI:(1.15, 1.35), spikes:(6, 15), temp:(25, 45)",WARNING Electrical Issue Detected,"Electrical overload, Severe electrical spikes",Device is drawing more current than expected; Possible loose wiring or sparking,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – AC

Problems detected:
• Electrical overload, Severe electrical spikes

Why this happened:
• Device is drawing more current than expected; Possible loose wiring or sparking

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
98,Warning,AC,"ΔI:(1.15, 1.35), spikes:(6, 15), temp:(45, 60)",WARNING Electrical Issue Detected,"Electrical overload, Severe electrical spikes, Rising temperature",Device is drawing more current than expected; Possible loose wiring or sparking; Continuous electrical load,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – AC

Problems detected:
• Electrical overload, Severe electrical spikes, Rising temperature

Why this happened:
• Device is drawing more current than expected; Possible loose wiring or sparking; Continuous electrical load

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
99,Warning,AC,"ΔI:(1.15, 1.35), spikes:(6, 15), temp:(60, 95)",WARNING Electrical Issue Detected,"Electrical overload, Severe electrical spikes, Overheating",Device is drawing more current than expected; Possible loose wiring or sparking; Electrical stress causing temperature rise,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – AC

Problems detected:
• Electrical overload, Severe electrical spikes, Overheating

Why this happened:
• Device is drawing more current than expected; Possible loose wiring or sparking; Electrical stress causing temperature rise

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
100,Warning,AC,"ΔI:(1.35, 2.2), spikes:(0, 1), temp:(25, 45)",WARNING Electrical Issue Detected,Excessive current draw,Current is flowing far above the normal baseline,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – AC

Problems detected:
• Excessive current draw

Why this happened:
• Current is flowing far above the normal baseline

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
